20210225-13:59:48.393 [etscrape] [DEBUG   ] Adding event: ZONECHANGE, occurred: 24/02/2021 23:39:29 [UTC]
20210225-13:59:48.393 [etscrape] [DEBUG   ] Adding event detail: Battery Voltage, value: 14.1 VDC
20210225-13:59:48.393 [etscrape] [DEBUG   ] Adding event detail: Sign-on ID, value: 38176
20210225-13:59:48.394 [etscrape] [DEBUG   ] Adding event detail: Current Speed, value: 0
20210225-13:59:48.394 [etscrape] [DEBUG   ] Adding event detail: From Zone, value: 430
20210225-13:59:48.394 [etscrape] [DEBUG   ] Adding event detail: To Zone, value: 0
20210225-13:59:48.394 [etscrape] [DEBUG   ] Adding event detail: Zone Output, value: 0
20210225-13:59:48.394 [etscrape] [DEBUG   ] Adding event: ZONECHANGE, occurred: 24/02/2021 23:39:31 [UTC]
20210225-13:59:48.394 [etscrape] [DEBUG   ] Adding event detail: Battery Voltage, value: 14.1 VDC
20210225-13:59:48.394 [etscrape] [DEBUG   ] Adding event detail: Sign-on ID, value: 38176
20210225-13:59:48.394 [etscrape] [DEBUG   ] Adding event detail: Current Speed, value: 0
20210225-13:59:48.394 [etscrape] [DEBUG   ] Adding event detail: From Zone, value: 0
20210225-13:59:48.394 [etscrape] [DEBUG   ] Adding event detail: To Zone, value: 430
20210225-13:59:48.394 [etscrape] [DEBUG   ] Adding event detail: Zone Output, value: 2
20210225-13:59:48.395 [etscrape] [DEBUG   ] Adding event: TRIP, occurred: 24/02/2021 23:44:47 [UTC]
20210225-13:59:48.395 [etscrape] [DEBUG   ] Adding event detail: Battery Voltage, value: 13.0 VDC
20210225-13:59:48.395 [etscrape] [DEBUG   ] Adding event detail: Sign-on ID, value: 38176
20210225-13:59:48.395 [etscrape] [DEBUG   ] Adding event detail: Time Forward, value: 0:27:08
20210225-13:59:48.395 [etscrape] [DEBUG   ] Adding event detail: Time Reverse, value: 0:05:36
20210225-13:59:48.395 [etscrape] [DEBUG   ] Adding event detail: Time Idle, value: 0:29:06
20210225-13:59:48.395 [etscrape] [DEBUG   ] Adding event detail: Max Idle Time, value: 0:05:40
20210225-13:59:48.395 [etscrape] [DEBUG   ] Adding event detail: Time on Seat, value: 1:01:50
20210225-13:59:48.396 [etscrape] [DEBUG   ] Adding trip: 213, occurred: 25/02/2021 00:04:44 [UTC]  to  25/02/2021 01:42:33 [UTC]
20210225-13:59:48.396 [etscrape] [DEBUG   ] Adding event: SIGNON, occurred: 25/02/2021 00:04:44 [UTC]
20210225-13:59:48.396 [etscrape] [DEBUG   ] Adding event detail: Battery Voltage, value: 12.8 VDC
20210225-13:59:48.396 [etscrape] [DEBUG   ] Adding event detail: Current Speed, value: 0
20210225-13:59:48.396 [etscrape] [DEBUG   ] Adding event detail: Sign-on ID, value: 38216
20210225-13:59:48.396 [etscrape] [DEBUG   ] Adding event detail: Driver ID, value: 15040
20210225-13:59:48.396 [etscrape] [DEBUG   ] Adding event detail: Card ID, value: 67108663 (0x3FFFF37)
20210225-13:59:48.396 [etscrape] [DEBUG   ] Adding event detail: Result, value: OK
20210225-13:59:48.396 [etscrape] [DEBUG   ] Adding event detail: Bits Read, value: 26
20210225-13:59:48.397 [etscrape] [DEBUG   ] Adding event detail: Keyboard, value: 64
20210225-13:59:48.397 [etscrape] [DEBUG   ] Adding event detail: Card Reader, value: 0
20210225-13:59:48.397 [etscrape] [DEBUG   ] Adding event: ZONECHANGE, occurred: 25/02/2021 00:04:51 [UTC]
20210225-13:59:48.397 [etscrape] [DEBUG   ] Adding event detail: Battery Voltage, value: 13.6 VDC
20210225-13:59:48.397 [etscrape] [DEBUG   ] Adding event detail: Sign-on ID, value: 38216
20210225-13:59:48.397 [etscrape] [DEBUG   ] Adding event detail: Current Speed, value: 0
20210225-13:59:48.397 [etscrape] [DEBUG   ] Adding event detail: From Zone, value: 0
20210225-13:59:48.397 [etscrape] [DEBUG   ] Adding event detail: To Zone, value: 430
20210225-13:59:48.397 [etscrape] [DEBUG   ] Adding event detail: Zone Output, value: 2
20210225-13:59:48.398 [etscrape] [DEBUG   ] Adding event: REPORT, occurred: 25/02/2021 00:05:39 [UTC]
20210225-13:59:48.398 [etscrape] [DEBUG   ] Adding event detail: Sign-on ID, value: 38216
20210225-13:59:48.398 [etscrape] [DEBUG   ] Adding event detail: Report Speed, value: 0
20210225-13:59:48.398 [etscrape] [DEBUG   ] Adding event detail: Direction, value: 87
20210225-13:59:48.398 [etscrape] [DEBUG   ] Adding event: ZONECHANGE, occurred: 25/02/2021 00:09:28 [UTC]
20210225-13:59:48.398 [etscrape] [DEBUG   ] Adding event detail: Battery Voltage, value: 14.1 VDC
20210225-13:59:48.398 [etscrape] [DEBUG   ] Adding event detail: Sign-on ID, value: 38216
20210225-13:59:48.398 [etscrape] [DEBUG   ] Adding event detail: Current Speed, value: 0
20210225-13:59:48.398 [etscrape] [DEBUG   ] Adding event detail: From Zone, value: 430
20210225-13:59:48.398 [etscrape] [DEBUG   ] Adding event detail: To Zone, value: 0
20210225-13:59:48.399 [etscrape] [DEBUG   ] Adding event detail: Zone Output, value: 0
20210225-13:59:48.399 [etscrape] [DEBUG   ] Adding event: ZONECHANGE, occurred: 25/02/2021 00:09:41 [UTC]
20210225-13:59:48.399 [etscrape] [DEBUG   ] Adding event detail: Battery Voltage, value: 14.1 VDC
20210225-13:59:48.399 [etscrape] [DEBUG   ] Adding event detail: Sign-on ID, value: 38216
20210225-13:59:48.399 [etscrape] [DEBUG   ] Adding event detail: Current Speed, value: 0
20210225-13:59:48.399 [etscrape] [DEBUG   ] Adding event detail: From Zone, value: 0
20210225-13:59:48.399 [etscrape] [DEBUG   ] Adding event detail: To Zone, value: 430
20210225-13:59:48.399 [etscrape] [DEBUG   ] Adding event detail: Zone Output, value: 2
20210225-13:59:48.399 [etscrape] [DEBUG   ] Adding event: ZONECHANGE, occurred: 25/02/2021 00:22:41 [UTC]
20210225-13:59:48.399 [etscrape] [DEBUG   ] Adding event detail: Battery Voltage, value: 14.1 VDC
20210225-13:59:48.400 [etscrape] [DEBUG   ] Adding event detail: Sign-on ID, value: 38216
20210225-13:59:48.400 [etscrape] [DEBUG   ] Adding event detail: Current Speed, value: 0
20210225-13:59:48.400 [etscrape] [DEBUG   ] Adding event detail: From Zone, value: 430
20210225-13:59:48.400 [etscrape] [DEBUG   ] Adding event detail: To Zone, value: 0
20210225-13:59:48.400 [etscrape] [DEBUG   ] Adding event detail: Zone Output, value: 0
20210225-13:59:48.400 [etscrape] [DEBUG   ] Adding event: ZONECHANGE, occurred: 25/02/2021 00:23:03 [UTC]
20210225-13:59:48.400 [etscrape] [DEBUG   ] Adding event detail: Battery Voltage, value: 14.1 VDC
20210225-13:59:48.400 [etscrape] [DEBUG   ] Adding event detail: Sign-on ID, value: 38216
20210225-13:59:48.400 [etscrape] [DEBUG   ] Adding event detail: Current Speed, value: 0
20210225-13:59:48.400 [etscrape] [DEBUG   ] Adding event detail: From Zone, value: 0
20210225-13:59:48.400 [etscrape] [DEBUG   ] Adding event detail: To Zone, value: 430
20210225-13:59:48.401 [etscrape] [DEBUG   ] Adding event detail: Zone Output, value: 2
20210225-13:59:48.401 [etscrape] [DEBUG   ] Adding event: ZONECHANGE, occurred: 25/02/2021 00:23:34 [UTC]
20210225-13:59:48.401 [etscrape] [DEBUG   ] Adding event detail: Battery Voltage, value: 14.1 VDC
20210225-13:59:48.401 [etscrape] [DEBUG   ] Adding event detail: Sign-on ID, value: 38216
20210225-13:59:48.401 [etscrape] [DEBUG   ] Adding event detail: Current Speed, value: 0
20210225-13:59:48.401 [etscrape] [DEBUG   ] Adding event detail: From Zone, value: 430
20210225-13:59:48.401 [etscrape] [DEBUG   ] Adding event detail: To Zone, value: 0
20210225-13:59:48.401 [etscrape] [DEBUG   ] Adding event detail: Zone Output, value: 0
